Local time,Open,High,Low,Close,Volume
25.03.2005 23:00:00.000 GMT+0100,1.57734,1.57734,1.57734,1.57734,0
26.03.2005 23:00:00.000 GMT+0100,1.57734,1.57734,1.57734,1.57734,0
28.03.2005 00:00:00.000 GMT+0200,1.57799,1.57875,1.56713,1.57003,447271.7988
29.03.2005 00:00:00.000 GMT+0200,1.56996,1.57409,1.56160,1.56354,445081.10059999995
30.03.2005 00:00:00.000 GMT+0200,1.56353,1.56402,1.56348,1.56366,98.2
31.03.2005 00:00:00.000 GMT+0200,1.56366,1.56366,1.56366,1.56366,0
01.04.2005 00:00:00.000 GMT+0200,1.56733,1.57565,1.56366,1.56651,438737.19820000004
02.04.2005 00:00:00.000 GMT+0200,1.56651,1.56651,1.56651,1.56651,0
03.04.2005 00:00:00.000 GMT+0200,1.56651,1.56651,1.56651,1.56651,0
03.04.2005 23:00:00.000 GMT+0200,1.56683,1.57066,1.56398,1.56881,447860.4985000001
04.04.2005 23:00:00.000 GMT+0200,1.56880,1.57142,1.56402,1.56605,444635.999
05.04.2005 23:00:00.000 GMT+0200,1.56597,1.57392,1.56376,1.57181,445559.5990999999
06.04.2005 23:00:00.000 GMT+0200,1.57243,1.57792,1.56848,1.57134,446765.59460000007
07.04.2005 23:00:00.000 GMT+0200,1.57095,1.58863,1.56589,1.58794,446745.2007
08.04.2005 23:00:00.000 GMT+0200,1.58794,1.58794,1.58794,1.58794,0
09.04.2005 23:00:00.000 GMT+0200,1.58794,1.58794,1.58794,1.58794,0
10.04.2005 23:00:00.000 GMT+0200,1.58877,1.60557,1.58263,1.59884,446841.39639999997
11.04.2005 23:00:00.000 GMT+0200,1.59915,1.60226,1.55920,1.59839,446007.50200000004
12.04.2005 23:00:00.000 GMT+0200,1.59852,1.59933,1.59011,1.59880,500430.19749999995
13.04.2005 23:00:00.000 GMT+0200,1.59842,1.59899,1.58755,1.59031,446020.7002
14.04.2005 23:00:00.000 GMT+0200,1.58999,1.61058,1.58612,1.60933,444143.79799999995
15.04.2005 23:00:00.000 GMT+0200,1.60933,1.60933,1.60933,1.60933,0
16.04.2005 23:00:00.000 GMT+0200,1.60933,1.60933,1.60933,1.60933,0
17.04.2005 23:00:00.000 GMT+0200,1.60938,1.62788,1.60414,1.62457,442853.0006000001
18.04.2005 23:00:00.000 GMT+0200,1.62467,1.62686,1.61449,1.61507,439863.30030000006
19.04.2005 23:00:00.000 GMT+0200,1.61505,1.62515,1.61155,1.62485,437184.50219999993
20.04.2005 23:00:00.000 GMT+0200,1.62457,1.62497,1.61328,1.61590,436953.99820000003
21.04.2005 23:00:00.000 GMT+0200,1.61599,1.61915,1.60916,1.61242,492458.8027999999
22.04.2005 23:00:00.000 GMT+0200,1.61242,1.61242,1.61242,1.61242,0
23.04.2005 23:00:00.000 GMT+0200,1.61242,1.61242,1.61242,1.61242,0
24.04.2005 23:00:00.000 GMT+0200,1.61256,1.61328,1.60335,1.60814,442943.4945
25.04.2005 23:00:00.000 GMT+0200,1.60799,1.61828,1.60500,1.61632,434543.5975999999
26.04.2005 23:00:00.000 GMT+0200,1.61617,1.61812,1.60650,1.61433,438615.60310000007
27.04.2005 23:00:00.000 GMT+0200,1.61445,1.61894,1.61129,1.61368,487349.6009999999
28.04.2005 23:00:00.000 GMT+0200,1.61377,1.62447,1.61299,1.61896,492562.0064
29.04.2005 23:00:00.000 GMT+0200,1.61896,1.61896,1.61896,1.61896,0
30.04.2005 23:00:00.000 GMT+0200,1.61896,1.61930,1.61896,1.61930,0
01.05.2005 23:00:00.000 GMT+0200,1.61930,1.62308,1.60961,1.61264,37724
02.05.2005 23:00:00.000 GMT+0200,1.61251,1.61954,1.61030,1.61094,52024
03.05.2005 23:00:00.000 GMT+0200,1.61094,1.62193,1.61041,1.61229,59030
04.05.2005 23:00:00.000 GMT+0200,1.61217,1.61766,1.60899,1.61366,52528
05.05.2005 23:00:00.000 GMT+0200,1.61366,1.61396,1.58854,1.59162,55232
06.05.2005 23:00:00.000 GMT+0200,1.59162,1.59162,1.59162,1.59162,0
07.05.2005 23:00:00.000 GMT+0200,1.59162,1.59162,1.59162,1.59162,0
08.05.2005 23:00:00.000 GMT+0200,1.59162,1.59376,1.58481,1.58920,46772
09.05.2005 23:00:00.000 GMT+0200,1.58920,1.59412,1.58533,1.59210,48972
10.05.2005 23:00:00.000 GMT+0200,1.59210,1.60364,1.58875,1.59906,58332
11.05.2005 23:00:00.000 GMT+0200,1.59918,1.59918,1.58436,1.58739,59742
12.05.2005 23:00:00.000 GMT+0200,1.58739,1.59807,1.58215,1.59807,49164
13.05.2005 23:00:00.000 GMT+0200,1.59807,1.59807,1.59807,1.59807,0
14.05.2005 23:00:00.000 GMT+0200,1.59807,1.59807,1.59807,1.59807,0
15.05.2005 23:00:00.000 GMT+0200,1.59744,1.60831,1.59075,1.60427,49760
16.05.2005 23:00:00.000 GMT+0200,1.60427,1.60742,1.59314,1.59428,50568
17.05.2005 23:00:00.000 GMT+0200,1.59415,1.59958,1.59075,1.59616,54790
18.05.2005 23:00:00.000 GMT+0200,1.59616,1.60059,1.59024,1.59125,48301
19.05.2005 23:00:00.000 GMT+0200,1.59125,1.59150,1.58141,1.58997,46222
20.05.2005 23:00:00.000 GMT+0200,1.58997,1.58997,1.58997,1.58997,0
21.05.2005 23:00:00.000 GMT+0200,1.58997,1.58997,1.58997,1.58997,0
22.05.2005 23:00:00.000 GMT+0200,1.58997,1.58997,1.57992,1.58231,32842
23.05.2005 23:00:00.000 GMT+0200,1.58231,1.59100,1.58030,1.58458,34081
24.05.2005 23:00:00.000 GMT+0200,1.58458,1.59504,1.58155,1.59289,33249
25.05.2005 23:00:00.000 GMT+0200,1.59289,1.59416,1.58323,1.58426,46701
26.05.2005 23:00:00.000 GMT+0200,1.58426,1.58706,1.57426,1.57766,35551
27.05.2005 23:00:00.000 GMT+0200,1.57766,1.57766,1.57766,1.57766,0
28.05.2005 23:00:00.000 GMT+0200,1.57766,1.57766,1.57766,1.57766,0
29.05.2005 23:00:00.000 GMT+0200,1.57766,1.57766,1.57063,1.57338,22364
30.05.2005 23:00:00.000 GMT+0200,1.57338,1.57338,1.54096,1.54366,52400
31.05.2005 23:00:00.000 GMT+0200,1.54366,1.54682,1.51797,1.51947,432066.29880000005
01.06.2005 23:00:00.000 GMT+0200,1.51939,1.53799,1.51753,1.53128,448567.8926
02.06.2005 23:00:00.000 GMT+0200,1.53130,1.53633,1.52087,1.52452,436383.5005
03.06.2005 23:00:00.000 GMT+0200,1.52452,1.52452,1.52452,1.52452,0
04.06.2005 23:00:00.000 GMT+0200,1.52452,1.52452,1.52452,1.52452,0
05.06.2005 23:00:00.000 GMT+0200,1.52434,1.53240,1.52231,1.52499,493221.49899999995
06.06.2005 23:00:00.000 GMT+0200,1.52507,1.53371,1.52180,1.52976,431943.8025
07.06.2005 23:00:00.000 GMT+0200,1.52975,1.53831,1.52783,1.52965,486916.00310000003
08.06.2005 23:00:00.000 GMT+0200,1.52984,1.53753,1.52779,1.53679,463726.3976000001
09.06.2005 23:00:00.000 GMT+0200,1.53602,1.53879,1.51151,1.51382,382097.8979
10.06.2005 23:00:00.000 GMT+0200,1.51382,1.51382,1.51382,1.51382,0
11.06.2005 23:00:00.000 GMT+0200,1.51382,1.51382,1.51382,1.51382,0
12.06.2005 23:00:00.000 GMT+0200,1.51407,1.52099,1.50687,1.52013,442165.9049
13.06.2005 23:00:00.000 GMT+0200,1.52026,1.52512,1.50458,1.50612,441290.59429999994
14.06.2005 23:00:00.000 GMT+0200,1.50583,1.51018,1.49538,1.49691,494443.2951
15.06.2005 23:00:00.000 GMT+0200,1.49652,1.50280,1.49161,1.49549,468922.8998999999
16.06.2005 23:00:00.000 GMT+0200,1.49554,1.51250,1.49317,1.50977,433654.1995
17.06.2005 23:00:00.000 GMT+0200,1.50977,1.50977,1.50977,1.50977,0
18.06.2005 23:00:00.000 GMT+0200,1.50977,1.50977,1.50977,1.50977,0
19.06.2005 23:00:00.000 GMT+0200,1.50956,1.51230,1.49327,1.50037,425892.6983
20.06.2005 23:00:00.000 GMT+0200,1.50054,1.50391,1.48954,1.49999,444475.8950999999
21.06.2005 23:00:00.000 GMT+0200,1.49995,1.50338,1.49200,1.49634,444269.59580000007
22.06.2005 23:00:00.000 GMT+0200,1.49641,1.49970,1.48026,1.48321,491288.09829999995
23.06.2005 23:00:00.000 GMT+0200,1.48266,1.49291,1.47655,1.48961,443366.5984
24.06.2005 23:00:00.000 GMT+0200,1.48961,1.48961,1.48961,1.48961,0
25.06.2005 23:00:00.000 GMT+0200,1.48961,1.48961,1.48961,1.48961,0
26.06.2005 23:00:00.000 GMT+0200,1.48953,1.50698,1.48811,1.49506,436921.8967000001
27.06.2005 23:00:00.000 GMT+0200,1.49514,1.50010,1.48221,1.48435,439502.0076999999
28.06.2005 23:00:00.000 GMT+0200,1.48443,1.48988,1.47707,1.48235,438577.60079999996
29.06.2005 23:00:00.000 GMT+0200,1.48223,1.49042,1.47841,1.48259,441010.1006
30.06.2005 23:00:00.000 GMT+0200,1.48196,1.48890,1.47734,1.48334,444310.99779999995
01.07.2005 23:00:00.000 GMT+0200,1.48334,1.48334,1.48334,1.48334,0
02.07.2005 23:00:00.000 GMT+0200,1.48334,1.48334,1.48334,1.48334,0
03.07.2005 23:00:00.000 GMT+0200,1.48363,1.48837,1.47477,1.47567,344802.3998
